index,Review,sentiment_predicted,category
0,왜 우성이형보면 짠한거져 돌려내 내 비트,0,story
1,"모르던 것들도 많이 알게 되었고, 전체적으로 나쁘지 않았던 영화.",0,story
2,역사를 리얼하게 풀어내서 흥미진진했어요!,1,story
3,우리가 모르던 역사의 한 부분을 알게 됐습니다,0,story
4,결말을 알고 있어도 긴장되는...몰입감 최고입니다.,0,story
5,배우분들의 연기로 더 몰입해서 본것같습니다! 연출도 좋았어요,0,directing
6,우리 나라 역사를 알게되는 최고의 영화..천만영화가 당연함,0,story
7,두 분의 연기력은 말해뭐해 였지만 감독님이 대단하다고 느꼈어요 ! 마지막 부분에서 정말 .. 최고였습니댜,0,actor
8,역사 공부 안할 이유가 생겼다,0,story
9,봄이 안와서 슬픈 80년,0,story
10,귣귣!! 재미있게 잘봤어요,1,story
11,보는내내 ㅎ하병으로 죽을 수도 있겠다 라는 생각을 했다. 저 시대를 살아온 기성세대들 민주주의를 위해 희생한 분들에게 존경을,0,story
12,걍ott로 보세요 볼만함,1,story
13,인기가 많은 영화라 기대하면서 봤는데 너무너무 재미있었어요 재개봉을 한다면 또 보고싶어요,0,story
14,역사를 다시 볼수있는 시간이였습니다 알고 있는 내용이였지만 영화로 다시보니 느낌이 다릅니다 재밌게 다시 보고 싶은 영화입니다,0,story
15,"연기좋았음, 점점화나는 영화",0,actor
16,정우성배우님 연기짱💗,1,actor
17,재밌게 봤어요. 몰입해서 봤습니다,0,story
18,보면서 많은 생각을 하게 된 영화였습니다,0,story
19,아는 거 실감나게 다시 빡쳐보는 시간,0,story
20,아주 감명깊게 역사를 보았네요. 추천 하고싶어요,0,story
21,연기력이 출중해서 보는 재미 UP,0,story
22,천만영화인 이유가 있다,1,story
23,영화보는 내내 열받아 죽는줄.. 연기들 너무 잘하시구 잼있었어요,0,actor
24,영화를 통해 시대적 사실을 되새김~^^ 정우성 넘 멋찜요~♡♡,0,story
25,배우들의 연기와 감독의 연출이 영화의 몰입을 극대화 합니다,0,directing
26,간만에 극장에서 욱할뻔했네요.. 앞으로는 이런일이 일어나지 않았으면 좋겠어요,0,story
27,개재믺어요!!!! 레알로!!!,1,story
28,실패하면 반역! 성공하면 혁명 아닙니까!,0,story
29,보는 내내 화가 났음 대체 왜 그랬을까,0,story
30,오락영화로써의 재미를 맛깔나게 살리면서도 역사적 사건을 기반으로 한국 관객들의 과몰입을 유도한 영리한 영화. 이권 다툼을 입씨름으로만 할 때가 댄나 재밌음. 마치 박타는 흥부 부부를 보는 느낌,0,story
31,배우들 연기가 뛰어났어요~,0,actor
32,"두 번 봤는데 두 번 다 진짜 화가 났다... 결말을 알고 있어서 그런지 중반부터는 답답한 마음이 들었다. 두 번째 볼때는 좀더 영화적인 요소에 눈이 갔는데, 화장실에 있을 때의 전두광, 간절하고 답답한 이태신을 어떤 구도와 컷으로 담아냈는지 보는 게 흥미로웠다.",0,story
33,배우들 성격을 잘나타내주는 진짜 누가누구인지 알수있고 전두광역을 맡은 황정음씨 너무 연기력 좋아요,0,actor
34,배우분들 연기 죽이네요.,1,actor
35,몰입감 최고 배우들의 연기력 최고 재미있는 영화였습니다,0,story
36,진짜 숨막히게 화날뻔하게 만든 몰입도..,1,story
37,알고 가야 잼 ㅎㅎ 모르고 갔어요,1,story
38,결말을 알기에 더 화났던 영화,0,story
39,보면서 낸 분노!!! 이 부분에 대해선 평소에도 관심이 깊어 알고 있었기에 그 과정을 다 알면서도 너무 짜증났어요,0,story
40,연기자들 연기 미쳫떠!!!진짜!!우리 아빠가 잠 안자고 본 영화!!굿귯!!!!,0,actor
41,실감나는 연기로 재미있었습니다,0,story
42,진짜 재밌게 봤어요 !!,1,story
43,연기자의 연기가 좋앗습니다,0,actor
44,황정민 연기에 감탄 ㆍ줄거리에서 화가 나고 분노가 났지만 실감나게 봤어요,0,actor
45,진짜 몰입 너무되면서 화났는데 사실….군복 핏이 너무 멋있었어요….,1,story
46,배우들연기긴 짱 멋있고 재미있었어요,0,story
47,부들부들 하면서 봤어요ㅡ.ㅡ,0,story
48,역사의 한 순간을 긴장감 있게 그려냈다. 이렇게 허술하게 이루어지는구나.,1,story
49,꾸밈 없는 역사 전달 너무 좋았습니다. 이게 현실이라니 영화 보면서 암 걸릴 뻔했네요,0,story
50,부모님과 함께. 관람 좋았습니다,0,story
51,그 때!!! 만약 그 때 안 그랬다 지금은 어땠을까를 계속 생각하게 되는 영화,0,story
52,부모님께서 보고하고 싶어셔 예매해드렸는데 재밌으셨대요,0,story
53,재밌었습니다 재미써요,1,story
54,연기력에 굉장히 몰입해서 볼 수 있었던 영화ㅜㅜ 시즌2도 기대 됩니다!~!,0,actor
55,전두광이 마빡 때리고싶네,0,story
56,마음 무거운 과거의 이야기네요. 강추,1,story
57,존잼 ㅡㅠㅡ❤?❤?❤?❤?❤?❤?❤?❤?,1,story
58,기대이상이였어요. 연기가 쩌네요.,1,actor
59,"으으 스트레스,, 개인의 사리사욕을 채우려고 국가를 뒤엎다니 그러고도 장수하다 가니 세상에 진짜 신은 없다 화나?",0,story
